iter	Logloss	Accuracy
0	0.6798937384	0.781111	0.6674921175	0.72	2	2	0.6564108936	03	03	0.3	0.6456593884	0.4	0.64	0.63605145	0.65	0.5	0.62635746	0.616	0.626	0.618847	0.607	0.61497	0.618	0.68	0.607018	0.609	0.59	0.599559	0.592591010	0.592973310	0.581111	0.58723536311	0.1212	0.58228074012	013	0.513	0.57729813	014	0.5614	0.5719114	0.5615	0.515	0.56786915	0.516	0.16	0.5632516	0.553217	0.17	0.5517	0.54923618	0.518	018	0.54456619	0.544319	019	0.54020	0.5411343220	0.53721	0.5371798621	0.53422	0.5339321315	22	0.23	0.5302512388	0.72324	0.5278164017	0.72425	0.5237708376	0.79
26	0.5169342606	0.792627	0.5130320837	0.27	028	0.5088762904	0.8
29	0.5047206207	0.8
30	0.5007560921	0.8
31	0.4983051385	0.8
32	0.4948511185	0.8
33	0.491194359	0.80125
34	0.4889347233	0.80125
35	0.4861938131	0.8025
36	0.4833540618	0.805
37	0.4822444513	0.805
38	0.4796400386	0.805
39	0.4770206831	0.805
40	0.4753633976	0.805
41	0.4735792855	0.80625
42	0.4707061192	0.80875
43	0.4683532609	0.80875
44	0.4650062575	0.81
45	0.4619091329	0.81
46	0.4595475068	0.80875
47	0.4564855127	0.80875
48	0.4560231281	0.80875
49	0.4551045899	0.80875
50	0.4525011722	0.80875
51	0.4515623806	0.80875
52	0.4501217618	0.80875
53	0.4492447526	0.80875554	0.4476142409	0.8054	055	0.4472649672	055	0.4556	0.44539073656	0.4557	0.443894876	0.57	0.58	0.443472205858	0.44659	0.4418742459	0.4450560	0.44036272860	0.444361	0.439851961	0.4424562	0.43883822362	0.441663	0.437227797463	0.44064	0.4355367035	64	0.4365	0.4344684164	65	0.4366	0.43297957766	0.435167	0.431895467	0.43475468	0.4300121368	0.4332669	0.42913769	0.43153870	0.4277804970	0.4313871	0.42700113371	0.430672	0.42605353772	0.428273	0.4252295973	0.427174	0.423892785474	0.426375	0.422759831	75	0.4276	0.4227539465	076	0.4277	0.4221883063	077	0.4278	0.4214475998	078	0.4279	0.4207215509	079	0.4280	0.4205980565	80	0.42181	0.420151597181	0.420782	0.41889798382	0.4200483	0.41799939783	0.4188084	0.41743000684	0.4180585	0.41672074885	0.417886	0.416219986	86	0.4187	0.4154403228787	0.4188	0.4151675688	88	0.4189	0.4144469788989	0.41690	0.4140418889090	0.41591	0.413450179191	0.492	0.4131541392	92	0.93	0.4124395187	0.93	94	0.4114345603	0.82995	0.4106368451	0.82
96	0.4100910603	0.82
97	0.4087952575	0.82
98	0.4087940697	0.82
99	0.4077288745	0.82
100	0.4070505809	0.82125
101	0.4065681936	0.82
102	0.4063207463	0.82
103	0.4055265789	0.82
104	0.4044426198	0.82
105	0.404384195	0.82
106	0.403936685	0.82
107	0.4035259923	0.82
108	0.4027891734	0.82375
109	0.4022164951	0.825
110	0.4013810634	0.82625
111	0.4011045011	0.825
112	0.4007477343	0.82625
113	0.3999390357	0.82375
114	0.399229373	0.825
115	0.3986607746	0.8275
116	0.3979534404	0.82625
117	0.3977323778	0.8275
118	0.3971133397	0.82625
119	0.3969421131	0.82625
120	0.3967123051	0.82625
121	0.3966337326	0.82625
122	0.3961068242	0.82875
123	0.395375779	0.82875
124	0.3945769061	0.8275
125	0.3937613499	0.8275
126	0.3931481267	0.82875
127	0.392463751	0.83
128	0.3919374465	0.83125
129	0.3918254703	0.83
130	0.391351683	0.8325
131	0.3904302049	0.83125
132	0.3900144699	0.8325
133	0.3893686955	0.83625
134	0.3888005945	0.83625
135	0.3883688192	0.83375
136	0.3878557184	0.8375
137	0.3874610891	0.8375
138	0.3873641918	0.8375
139	0.3868364166	0.84
140	0.3862921305	0.84
141	0.3857459399	0.84125
142	0.3853746597	0.84125
143	0.385112781	0.84125
144	0.3850202213	0.84125
145	0.3845593666	0.84125
146	0.38384207	0.8425
147	0.383823502	0.8425
148	0.3837447389	0.8425
149	0.3836409543	0.8425
150	0.383640954	0.8425
151	0.3833213737	0.8425
152	0.3832354561	0.8425
153	0.3832354557	0.8425
154	0.3829623155	0.84375
155	0.3829623149	0.84375
156	0.3827827201	0.84375
157	0.3826481851	0.84375
158	0.3821916594	0.84375
159	0.3810762917	0.84375
160	0.3807314756	0.8425
161	0.3800459069	0.8425
162	0.3797509388	0.8425
163	0.3797509384	0.8425
164	0.3796919975	0.8425
165	0.3794340853	0.8425
166	0.379170401	0.8425
167	0.3786458157	0.8425
168	0.3784436488	0.8425
169	0.3775020253	0.8425
170	0.3770439438	0.8425
171	0.3767089194	0.8425
172	0.376559062	0.84125
173	0.3761079898	0.84125
174	0.3757460029	0.84125
175	0.3753846276	0.8425
176	0.3749042742	0.84375
177	0.3747023248	0.8425
178	0.3744340652	0.84375
179	0.3744064213	0.84375
180	0.3733732796	0.8425
181	0.3732545964	0.84375
182	0.3727852241	0.84375
183	0.3726779262	0.84375
184	0.372398391	0.84375
185	0.3722277349	0.845
186	0.3717265344	0.845
187	0.3716461338	0.845
188	0.3713196767	0.845
189	0.3709674913	0.845
190	0.3706536719	0.845
191	0.3700113683	0.845
192	0.3699803031	0.845
193	0.3699765783	0.845
194	0.3692754281	0.845
195	0.3691900179	0.845
196	0.3688241462	0.84625
197	0.368635354	0.84625
198	0.3677330306	0.8475
199	0.3671049481	0.84875
200	0.3666644565	0.84875
201	0.3660919427	0.85
202	0.3656791909	0.85
203	0.3650070901	0.84875
204	0.3644002414	0.8525
205	0.3641480497	0.85125
206	0.3640756058	0.85125
207	0.3639801498	0.85125
208	0.3628783645	0.85375
209	0.3624545623	0.85375
210	0.36195886	0.8525
211	0.3615601878	0.8525
212	0.3614194202	0.8525
213	0.3609089884	0.85375
214	0.3602592097	0.85375
215	0.3597472217	0.85375
216	0.3593707541	0.853752217	0.3587465499	0.8552218	0.3584895807	0.855
219	0.357167989	0.855
220	0.3565523874	0.855
221	0.3561046194	0.855
222	0.355812091	0.8575
223	0.3557447608	0.8575
224	0.3554729846	0.8575
225	0.3547653973	0.8575
226	0.3545306579	0.8575
227	0.3543332166	0.8575
228	0.3540755373	0.85875
229	0.3539746506	0.85875
230	0.3537706925	0.85875
231	0.3532964498	0.85875
232	0.3530777731	0.86
233	0.3527528528	0.85875
234	0.3524109177	0.85875
235	0.3521176016	0.85875
236	0.3520809173	0.85875
237	0.3517927014	0.86
238	0.351635855	0.85875
239	0.3513032929	0.86
240	0.3510842303	0.86
241	0.3507220521	0.86
242	0.3504335502	0.85875
243	0.3502554389	0.85875
244	0.349860878	0.85875
245	0.3495890656	0.85875
246	0.3494777161	0.858246247	0.348994133	0.824248	0.3486785453	0.824249	0.3486421698	0.824250	0.3484176055	0.858725251	0.3481893269	0.86
252	0.3476728839	0.86125
253	0.3468868593	0.86125
254	0.346249635	0.86125
