iter	Passed	Remaining
0	161	161295
1	260	130162
2	395	131318
3	542	135088
4	710	141376
5	871	144405
6	1036	147070
7	1186	147144
8	1345	148202
9	1450	143648
10	1616	145361
11	1764	145293
12	1917	145580
13	2027	142806
14	2196	144223
15	2371	145821
16	2531	146361
17	2656	144928
18	2829	146115
19	3002	147138
20	3172	147889
21	3321	147636
22	3478	147777
23	3616	147056
24	3717	144984
25	3828	143408
26	3933	141747
27	4045	140443
28	4162	139378
29	4268	138021
30	4366	136500
31	4470	135242
32	4641	136004
33	4755	135117
34	4924	135783
35	5127	137302
36	5291	137723
37	5452	138034
38	5562	137073
39	5686	136465
40	5851	136879
41	6013	137168
42	6146	136800
43	6248	135758
44	6359	134972
45	6531	135457
46	6646	134758
47	6816	135189
48	6978	135435
49	7094	134791
50	7288	135624
51	7457	135964
52	7622	136191
53	7773	136181
54	7923	136139
55	8081	136235
56	8264	136731
57	8434	136980
58	8550	136370
59	8671	135858
60	8759	134843
61	8849	133878
62	8950	133128
63	9097	133045
64	9244	132984
65	9342	132203
66	9448	131568
67	9586	131387
68	9695	130814
69	9802	130229
70	9909	129667
71	10065	129734
72	10175	129214
73	10285	128713
74	10420	128520
75	10560	128390
76	10660	127793
77	10769	127295
78	10935	127484
79	11086	127497
80	11181	126856
81	11299	126497
82	11389	125831
83	11493	125335
84	11598	124859
85	11706	124416
86	11884	124713
87	11983	124192
88	12089	123752
89	12260	123963
90	12436	124225
91	12556	123923
92	12726	124122
93	12874	124088
94	12978	123638
95	13096	123328
96	13199	122877
97	13406	123396
98	13511	122965
99	13669	123023
100	13839	123182
101	13950	122816
102	14085	122662
103	14265	122904
104	14463	123282
105	14594	123086
106	14696	122650
107	14789	122148
108	14878	121620
109	15036	121662
110	15128	121167
111	15219	120671
112	15308	120167
113	15395	119649
114	15532	119531
115	15633	119139
116	15766	118992
117	15872	118641
118	15968	118220
119	16076	117892
120	16189	117608
121	16293	117257
122	16387	116842
123	16576	117102
124	16705	116940
125	16885	117127
126	16990	116793
127	17137	116746
128	17311	116884
129	17461	116855
130	17668	117206
131	17758	116777
132	17854	116387
133	17959	116066
