iter	Logloss	Accuracy
0	0.6887254997	0.7885264342
1	0.6849231032	0.7885264342
2	0.6808768787	0.7896512936
3	0.6769140638	0.790776153
4	0.6731973541	0.7919010124
5	0.6696651534	0.7896512936
6	0.66611467	0.7885264342
7	0.6623412	0.7874015748
8	0.6583392711	0.7874015748
9	0.6551317982	0.7874015748
10	0.6517154131	0.7874015748
11	0.6481737459	0.7874015748
12	0.6448456021	0.7874015748
13	0.6420172915	0.7874015748
14	0.639154608	0.7874015748
15	0.6357326781	0.7874015748
16	0.632984329	0.7874015748
17	0.6300346287	0.7874015748
18	0.6270852082	0.7874015748
19	0.6240650486	0.7874015748
20	0.6210173478	0.7874015748
21	0.6181753905	0.7874015748
22	0.6156918535	0.7874015748
23	0.6125264377	0.7874015748
24	0.6103269928	0.7874015748
25	0.6077289978	0.7874015748
26	0.605411129	0.7874015748
27	0.602611468	0.7874015748
28	0.6005761476	0.7874015748
29	0.5981951336	0.7874015748
30	0.595905512	0.7874015748
31	0.5937404625	0.7874015748
32	0.5914176794	0.7874015748
33	0.5896138357	0.7874015748
34	0.5873607248	0.7874015748
35	0.5853668783	0.7874015748
36	0.5835572807	0.7874015748
37	0.5818603311	0.7874015748
38	0.5802085848	0.7874015748
39	0.5784058484	0.7874015748
40	0.5768561012	0.7874015748
41	0.5750426009	0.7874015748
42	0.5730128652	0.7874015748
43	0.5710493091	0.7874015748
44	0.569456295	0.7874015748
45	0.5678356989	0.7874015748
46	0.5661964292	0.7874015748
47	0.5644446529	0.7874015748
48	0.5625742979	0.7874015748
49	0.5607892398	0.7874015748
50	0.5593378478	0.7874015748
51	0.5576559375	0.7885264342
52	0.5558822275	0.7885264342
53	0.5543959228	0.7885264342
54	0.5526125973	0.7885264342
55	0.5514334965	0.7885264342
56	0.5503473521	0.7885264342
57	0.5492840771	0.7885264342
58	0.5479727413	0.7874015748
59	0.5464257781	0.7885264342
60	0.5449607837	0.7885264342
61	0.5435900537	0.7885264342
62	0.5423533323	0.7885264342
63	0.5411589432	0.7885264342
64	0.5396951972	0.7885264342
65	0.5384119691	0.7885264342
66	0.5372755697	0.7885264342
67	0.5364251722	0.7885264342
68	0.5355915027	0.7885264342
69	0.534453721	0.7885264342
70	0.5329676995	0.7885264342
71	0.5321213493	0.7885264342
72	0.5311422278	0.7885264342
73	0.5298419048	0.7896512936
74	0.5286964848	0.7896512936
75	0.5276399531	0.7896512936
76	0.5264869678	0.790776153
77	0.5253935837	0.790776153
78	0.52418482	0.790776153
79	0.5235323177	0.790776153
80	0.5225823801	0.790776153
81	0.5217454235	0.790776153
82	0.5206182423	0.790776153
83	0.5200215894	0.790776153
84	0.5192724769	0.790776153
85	0.5182284566	0.790776153
86	0.5168139268	0.790776153
87	0.5150985347	0.790776153
88	0.513860123	0.7919010124
89	0.5125997554	0.7919010124
90	0.5114512884	0.7930258718
91	0.5095691603	0.7930258718
92	0.5083722226	0.7941507312
93	0.506991927	0.7964004499
94	0.5056784926	0.7964004499
95	0.5046169358	0.7964004499
96	0.5031709721	0.7975253093
97	0.502075412	0.7975253093
98	0.5005790126	0.7986501687
99	0.4992950799	0.7986501687
100	0.498157949	0.7986501687
101	0.4970495051	0.7986501687
102	0.496594022	0.8008998875
103	0.494983992	0.8008998875
104	0.4938607809	0.8042744657
105	0.4930342906	0.8042744657
106	0.4927600298	0.8042744657
107	0.4916544049	0.8053993251
108	0.4905545241	0.8053993251
109	0.4895043959	0.8053993251
110	0.4886024629	0.8053993251
111	0.4879313195	0.8053993251
112	0.4871187299	0.8053993251
113	0.485956173	0.8053993251
114	0.4850590085	0.8053993251
115	0.4841410139	0.8053993251
116	0.4834758343	0.8065241845
117	0.4825398667	0.8065241845
118	0.4816476282	0.8065241845
119	0.4813835224	0.8065241845
120	0.4807743533	0.8065241845
121	0.4801116691	0.8065241845
122	0.479122706	0.8065241845
123	0.4782727214	0.8065241845
124	0.4778316296	0.8065241845
125	0.477105867	0.8065241845
126	0.476707842	0.8065241845
127	0.4756553164	0.8087739033
128	0.4746745917	0.8087739033
129	0.473931769	0.8087739033
130	0.4732201987	0.8087739033
131	0.4724905079	0.8087739033
132	0.4720514143	0.8087739033
133	0.4713008109	0.8087739033
134	0.4711321573	0.8087739033
135	0.4704873533	0.8087739033
136	0.4700875487	0.8087739033
137	0.4694782434	0.8087739033
138	0.4689213474	0.8087739033
139	0.46819345	0.8087739033
140	0.4675866182	0.8087739033
141	0.467224516	0.8087739033
142	0.466593284	0.8087739033
143	0.4659731369	0.8087739033
144	0.4652662454	0.8087739033
145	0.4649381323	0.8087739033
146	0.464232264	0.8087739033
147	0.4635367669	0.8087739033
148	0.4629632531	0.8087739033
149	0.4624635304	0.8087739033
150	0.4621787485	0.8087739033
151	0.4614417101	0.8087739033
152	0.4607431	0.8087739033
153	0.4603471269	0.8087739033
154	0.4599282511	0.8087739033
155	0.4591920938	0.8087739033
156	0.4585032917	0.8087739033
157	0.4579698272	0.8087739033
158	0.4575551031	0.8087739033
159	0.4573674948	0.8087739033
160	0.4565394621	0.8087739033
161	0.4558197137	0.8087739033
162	0.4556322956	0.8087739033
163	0.4549841622	0.8087739033
164	0.4546167388	0.8087739033
165	0.4541709812	0.8087739033
166	0.4537292498	0.8087739033
167	0.4533790783	0.8087739033
168	0.4532329702	0.8087739033
169	0.4532206708	0.8087739033
170	0.4527298757	0.8087739033
171	0.4522586425	0.8098987627
172	0.4521729852	0.8098987627
173	0.4520890298	0.8098987627
174	0.4517419718	0.8098987627
175	0.45137611	0.8098987627
176	0.4507776185	0.8098987627
177	0.4506520471	0.8098987627
178	0.4505638982	0.8098987627
179	0.4504853798	0.8098987627
180	0.4501894956	0.8098987627
181	0.4494974956	0.811023622
182	0.4490803376	0.811023622
183	0.4488589195	0.811023622
184	0.4484870199	0.811023622
185	0.4483218872	0.811023622
