iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	231	312	231	340	231	312	340
1	231	312	231	340	231	312	340
2	231	312	231	340	231	312	340
3	231	312	231	340	231	312	340
4	231	312	231	340	231	312	340
5	231	312	231	340	231	312	340
6	231	312	231	340	231	312	340
7	231	312	231	340	231	312	340
8	231	312	231	340	231	312	340
9	231	312	231	340	231	312	340
10	231	312	231	340	231	312	340
11	231	312	231	340	231	312	340
12	231	312	231	340	231	312	340
13	231	312	231	340	231	312	340
14	231	312	231	340	231	312	340
15	231	312	231	340	231	312	340
16	231	312	231	340	231	312	340
17	231	312	231	340	231	312	340
18	231	312	231	340	231	312	340
19	231	312	231	340	231	312	340
20	231	312	231	340	231	312	340
21	231	312	231	340	231	312	340
22	231	312	231	340	231	312	340
23	231	312	231	340	231	312	340
24	231	312	231	340	231	312	340
25	231	312	231	340	231	312	340
26	231	312	231	340	231	312	340
27	231	312	231	340	231	312	340
28	231	312	231	340	231	312	340
29	231	312	231	340	231	312	340
30	231	312	231	340	231	312	340
31	231	312	231	340	231	312	340
32	231	312	231	340	231	312	340
33	231	312	231	340	231	312	340
34	231	312	231	340	231	312	340
35	231	312	231	340	231	312	340
36	231	312	231	340	231	312	340
37	231	312	231	340	231	312	340
38	231	312	231	340	231	312	340
39	231	312	231	340	231	312	340
40	231	312	231	340	231	312	340
41	231	312	231	340	231	312	340
42	231	312	231	340	231	312	340
43	231	312	231	340	231	312	340
44	231	312	231	340	231	312	340
45	231	312	231	340	231	312	340
46	231	312	231	340	231	312	340
47	231	309	231	340	231	309	340
48	231	308	231	340	231	308	340
49	231	308	231	340	231	308	340
50	231	308	231	340	231	308	340
51	231	308	231	340	231	308	340
52	231	308	231	340	231	308	340
53	231	308	231	340	231	308	340
54	231	308	231	340	231	308	340
55	231	308	231	340	231	308	340
56	231	308	231	340	231	308	340
57	231	308	231	340	231	308	340
58	231	308	231	340	231	308	340
59	231	308	231	340	231	308	340
60	231	308	231	340	231	308	340
61	231	308	231	340	231	308	340
62	231	308	231	340	231	308	340
63	231	308	231	340	231	308	340
64	231	308	231	340	231	308	340
65	231	308	231	340	231	308	340
66	231	308	231	340	231	308	340
67	231	308	231	340	231	308	340
68	231	308	231	340	231	308	340
69	231	308	231	340	231	308	340
70	231	308	231	340	231	308	340
71	231	308	231	340	231	308	340
72	231	308	231	340	231	308	340
73	231	308	231	340	231	308	340
74	231	308	231	340	231	308	340
75	231	308	231	340	231	308	340
76	231	308	231	340	231	308	340
77	231	303	231	340	231	303	340
78	231	303	231	340	231	303	340
79	231	303	231	340	231	303	340
80	231	303	231	340	231	303	340
81	231	303	231	340	231	303	340
82	231	303	231	340	231	303	340
83	231	303	231	340	231	303	340
84	231	303	231	340	231	303	340
85	231	303	231	340	231	303	340
86	231	303	231	340	231	303	340
87	231	303	231	340	231	303	340
88	231	303	231	340	231	303	340
89	231	303	231	340	231	303	340
90	231	303	231	340	231	303	340
91	231	297	231	340	231	297	340
92	231	297	231	340	231	297	340
93	231	297	231	340	231	297	340
94	231	297	231	340	231	297	340
95	231	297	231	340	231	297	340
96	231	297	231	340	231	297	340
97	231	297	231	340	231	297	340
98	231	296	231	340	231	296	340
99	231	297	231	340	231	297	340
100	231	297	231	340	231	297	340
101	231	297	231	340	231	297	340
102	231	296	231	340	231	296	340
103	231	294	231	340	231	294	340
104	231	294	231	340	231	294	340
105	231	294	231	340	231	294	340
106	231	294	231	340	231	294	340
107	231	292	231	340	231	292	340
108	231	292	231	340	231	292	340
109	231	292	231	340	231	292	340
110	231	292	231	340	231	292	340
111	231	292	231	340	231	292	340
112	231	292	231	340	231	292	340
113	231	292	231	340	231	292	340
114	231	292	231	340	231	292	340
115	231	292	231	340	231	292	340
116	231	292	231	340	231	292	340
117	231	292	231	340	231	292	340
118	231	292	231	340	231	292	340
119	231	292	231	340	231	292	340
120	231	292	231	340	231	292	340
121	231	292	231	340	231	292	340
122	231	291	231	340	231	291	340
123	231	291	231	340	231	291	340
124	231	291	231	340	231	291	340
125	231	290	231	340	231	290	340
126	231	290	231	340	231	290	340
127	231	290	231	340	231	290	340
128	231	290	231	340	231	290	340
129	231	290	231	340	231	290	340
130	231	290	231	340	231	290	340
131	231	290	231	340	231	290	340
132	231	290	231	340	231	290	340
133	231	290	231	340	231	290	340
134	231	290	231	340	231	290	340
135	231	289	231	340	231	289	340
136	231	289	231	340	231	289	340
137	231	289	231	340	231	289	340
138	231	289	231	340	231	289	340
139	231	289	231	340	231	289	340
140	231	289	231	340	231	289	340
141	231	289	231	340	231	289	340
142	231	289	231	340	231	289	340
143	231	289	231	340	231	289	340
144	231	289	231	340	231	289	340
145	231	288	231	340	231	288	340
146	231	289	231	340	231	289	340
147	231	288	231	340	231	288	340
148	231	288	231	340	231	288	340
149	231	288	231	340	231	288	340
150	231	288	231	340	231	288	340
151	231	288	231	340	231	288	340
152	231	288	231	340	231	288	340
153	231	288	231	340	231	288	340
154	231	288	231	340	231	288	340
155	231	288	231	340	231	288	340
156	231	288	231	340	231	288	340
157	231	288	231	340	231	288	340
158	231	288	231	340	231	288	340
159	231	288	231	340	231	288	340
160	231	288	231	340	231	288	340
161	231	288	231	340	231	288	340
162	231	288	231	340	231	288	340
163	231	288	231	340	231	288	340
164	231	288	231	340	231	288	340
165	231	288	231	340	231	288	340
166	231	288	231	340	231	288	340
167	231	288	231	340	231	288	340
168	231	288	231	340	231	288	340
169	231	288	231	340	231	288	340
170	231	288	231	340	231	288	340
171	231	288	231	340	231	288	340
172	231	288	231	340	231	288	340
173	231	287	231	340	231	287	340
174	231	288	231	340	231	288	340
175	231	288	231	340	231	288	340
176	231	287	231	340	231	287	340
177	231	287	231	340	231	287	340
178	231	287	231	340	231	287	340
179	231	287	231	340	231	287	340
180	231	287	231	340	231	287	340
181	231	286	231	340	231	286	340
182	231	286	231	340	231	286	340
183	231	286	231	340	231	286	340
184	231	286	231	340	231	286	340
185	231	286	231	340	231	286	340
186	231	286	231	340	231	286	340
187	231	286	231	340	231	286	340
188	231	285	231	340	231	285	340
189	231	285	231	340	231	285	340
190	231	285	231	340	231	285	340
191	231	285	231	340	231	285	340
192	231	285	231	340	231	285	340
193	231	285	231	340	231	285	340
194	231	285	231	340	231	285	340
195	231	285	231	340	231	285	340
196	231	283	231	340	231	283	340
197	231	283	231	340	231	283	340
198	231	283	231	340	231	283	340
199	232	284	232	340	232	284	340
200	232	283	232	340	232	283	340
201	232	283	232	340	232	283	340
202	234	285	234	340	234	285	340
203	234	285	234	340	234	285	340
204	234	285	234	340	234	285	340
205	234	285	234	340	234	285	340
206	232	283	232	340	232	283	340
207	232	283	232	340	232	283	340
208	232	283	232	340	232	283	340
209	234	285	234	340	234	285	340
210	234	285	234	340	234	285	340
211	234	285	234	340	234	285	340
212	234	285	234	340	234	285	340
213	234	285	234	340	234	285	340
214	235	286	235	340	235	286	340
215	234	285	234	340	234	285	340
216	234	285	234	340	234	285	340
217	235	286	235	340	235	286	340
218	235	286	235	340	235	286	340
219	237	288	237	340	237	288	340
220	237	288	237	340	237	288	340
221	237	288	237	340	237	288	340
222	237	288	237	340	237	288	340
223	237	288	237	340	237	288	340
224	237	288	237	340	237	288	340
225	237	288	237	340	237	288	340
226	237	287	237	340	237	287	340
227	237	287	237	340	237	287	340
228	237	287	237	340	237	287	340
229	237	287	237	340	237	287	340
230	237	287	237	340	237	287	340
231	237	287	237	340	237	287	340
232	239	289	239	340	239	289	340
233	239	289	239	340	239	289	340
234	239	289	239	340	239	289	340
235	239	289	239	340	239	289	340
236	239	289	239	340	239	289	340
237	239	289	239	340	239	289	340
238	240	290	240	340	240	290	340
239	240	289	240	340	240	289	340
240	240	289	240	340	240	289	340
241	240	289	240	340	240	289	340
242	240	289	240	340	240	289	340
243	240	289	240	340	240	289	340
244	240	289	240	340	240	289	340
245	240	289	240	340	240	289	340
246	240	289	240	340	240	289	340
247	240	289	240	340	240	289	340
248	240	289	240	340	240	289	340
249	240	289	240	340	240	289	340
250	240	289	240	340	240	289	340
251	240	289	240	340	240	289	340
252	241	288	241	340	241	288	340
253	244	291	244	340	244	291	340
254	244	293	244	340	244	293	340
255	244	291	244	340	244	291	340
256	244	291	244	340	244	291	340
257	244	291	244	340	244	291	340
