iter	Passed	Remaining
0	51	51766
1	54	27188
2	63	21149
3	85	21272
4	89	17794
5	95	15820
6	99	14109
7	102	12719
8	105	11639
9	107	10615
10	109	9850
11	112	9254
12	115	8736
13	116	8233
14	118	7772
15	121	7460
16	122	7105
17	125	6840
18	129	6690
19	132	6511
20	135	6315
21	138	6140
22	139	5931
23	142	5783
24	143	5590
25	145	5443
26	147	5306
27	149	5194
28	151	5058
29	153	4968
30	156	4884
31	159	4833
32	162	4756
33	163	4645
34	165	4576
35	168	4507
36	169	4424
37	171	4343
38	173	4267
39	175	4222
40	177	4151
41	179	4103
42	182	4064
43	185	4022
44	190	4041
45	196	4067
46	198	4032
47	201	3996
48	204	3962
49	206	3930
50	209	3896
51	212	3870
52	214	3836
53	219	3851
54	222	3821
55	224	3777
56	225	3722
57	225	3670
58	228	3642
59	230	3613
60	236	3645
61	244	3701
62	246	3670
63	249	3654
64	252	3636
65	256	3627
66	260	3627
67	261	3588
68	263	3559
69	267	3552
70	271	3548
71	272	3513
72	275	3503
73	280	3515
74	283	3496
75	289	3520
76	291	3499
77	293	3473
78	296	3454
79	299	3438
80	302	3432
81	304	3413
82	306	3391
83	307	3358
84	310	3340
85	312	3323
86	319	3357
87	321	3336
88	325	3334
89	327	3313
90	333	3327
91	335	3310
92	337	3290
93	339	3272
94	344	3279
95	353	3330
96	355	3314
97	357	3294
98	360	3281
99	362	3264
100	365	3252
101	367	3235
102	368	3210
103	370	3191
104	372	3172
105	374	3155
106	375	3130
107	379	3130
108	384	3140
109	389	3148
110	391	3133
111	393	3119
112	395	3107
113	398	3098
114	401	3089
115	403	3078
116	406	3066
117	410	3064
118	412	3057
119	414	3036
120	415	3021
121	418	3014
122	421	3004
123	423	2990
124	425	2976
125	427	2967
126	429	2950
127	431	2939
128	433	2927
129	435	2916
130	438	2908
131	446	2936
132	448	2926
133	451	2917
134	454	2914
135	457	2907
136	460	2899
137	462	2888
138	465	2881
139	466	2868
140	469	2857
141	470	2845
142	472	2833
143	475	2827
144	477	2816
145	479	2805
146	481	2795
147	483	2784
148	485	2773
149	487	2763
150	489	2754
151	492	2747
152	494	2738
153	496	2728
